start test (v3) Wed Nov 28 22:57:33 EST 2018
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 11, 2935774074
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 12, 2060629490
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 13, 3246703366
Wed Nov 28 23:09:55 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1934170666
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 1, 9726364450
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 2, 9768865082
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 3, 11117064956
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 4, 10101719788
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 5, 9913424232
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 6, 9800454196
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 7, 9835473668
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 8, 9807022258
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 9, 9807744386
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 10, 9914201672
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 11, 9936059700
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 12, 9811669242
Wed Nov 28 23:10:03 2018, random_write, p, DRAM, 13, 9767304884
Wed Nov 28 23:10:03 2018, random_write, s, /mnt/pmem0/copy-test, 23, 11153109720
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 1, 5730272806
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 2, 6918634580
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 3, 5920678008
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 4, 6525596282
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 5, 7171882034
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 6, 6125832980
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 7, 6750301486
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 8, 7559920804
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 9, 5377678222
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 10, 5382499624
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 11, 7782219024
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 12, 6317012180
Wed Nov 28 23:10:37 2018, backwards_write, p, DRAM, 13, 7356331866
Wed Nov 28 23:10:37 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 8589564040
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 1, 1287864190
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 2, 2452839070
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 3, 2913748112
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 4, 2712309358
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 5, 2046631274
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 6, 1505527238
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 7, 1682474068
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 8, 3149151824
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 9, 811420626
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 10, 817063336
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 11, 2265315172
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 12, 3359468670
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 13, 1900437546
Wed Nov 28 23:11:10 2018, sequential_write, p, DRAM, 14, 811897024
Wed Nov 28 23:11:10 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1937131840
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 1, 9810651254
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 2, 11049574290
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 3, 9883884748
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 4, 10288643366
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 5, 10007953256
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 6, 9887256010
Wed Nov 28 23:11:18 2018, random_write, p, DRAM, 7, 9877503002
