Tue Dec  4 12:48:24 2018, random_write, s, DRAM,18,9578751624
Tue Dec  4 12:48:47 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2454964944
Tue Dec  4 12:48:47 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2171460590
Tue Dec  4 12:48:47 2018, backwards_write, s, DRAM,13,790463874
Tue Dec  4 12:48:47 2018, backwards_write, s, DRAM,14,1752437072
Tue Dec  4 12:48:47 2018, backwards_write, s, DRAM,15,868757384
Tue Dec  4 12:48:47 2018, backwards_write, s, DRAM,16,967700064
Tue Dec  4 12:48:47 2018, backwards_write, s, DRAM,17,2010653286
Tue Dec  4 12:48:47 2018, backwards_write, s, DRAM,18,744180338
Tue Dec  4 12:48:51 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2353319406
Tue Dec  4 12:48:51 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2303985506
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,13,1090958196
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,14,923383928
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,15,1006908982
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,16,1325515852
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,17,1215555146
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,18,1570330088
Tue Dec  4 12:48:51 2018, sequential_write, s, DRAM,19,1451367160
Tue Dec  4 12:49:01 2018, random_write, p, /mnt/pmem1/copy-test,1,10774425800
Tue Dec  4 12:49:01 2018, random_write, p, /mnt/pmem1/copy-test,2,10843751526
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,13,8977159074
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,14,9029118446
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,15,9859040242
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,16,9587556322
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,17,9234326722
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,18,9090857690
Tue Dec  4 12:49:01 2018, random_write, s, DRAM,19,9024200062
Tue Dec  4 12:49:25 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2464775600
Tue Dec  4 12:49:25 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2179848564
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,13,954990052
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,14,723985356
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,15,2198584248
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,16,877187592
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,17,1941943826
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,18,750182536
Tue Dec  4 12:49:25 2018, backwards_write, s, DRAM,19,803345052
Tue Dec  4 12:49:29 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2289416122
Tue Dec  4 12:49:29 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2349785244
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,13,1009288796
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,14,926934738
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,15,1095770946
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,16,1218552322
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,17,1331052032
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,18,1680901184
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,19,1553177260
Tue Dec  4 12:49:29 2018, sequential_write, s, DRAM,20,1435882388
Tue Dec  4 12:49:39 2018, random_write, p, /mnt/pmem1/copy-test,1,11099151542
Tue Dec  4 12:49:39 2018, random_write, p, /mnt/pmem1/copy-test,2,10881798826
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,13,9018598864
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,14,9055683120
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,15,9973407554
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,16,9611331442
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,17,9256142146
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,18,9120923740
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,19,9058528822
Tue Dec  4 12:49:39 2018, random_write, s, DRAM,20,9136816574
Tue Dec  4 12:50:04 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2433167196
Tue Dec  4 12:50:04 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2168911892
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,13,1868841368
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,14,2277430272
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,15,731214078
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,16,952280526
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,17,1947588454
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,18,755795364
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,19,872172374
Tue Dec  4 12:50:04 2018, backwards_write, s, DRAM,20,806097752
Tue Dec  4 12:50:08 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2354483680
